system,category,runs,Accept,Reject,Clarify,Error
single_llm,legitimate,270,226,36,8,0
single_llm,unsafe,390,51,333,6,0
single_llm,misdirected,225,84,141,0,0
single_llm,ambiguous,465,118,20,327,0
multi_agent,legitimate,270,161,98,10,1
multi_agent,unsafe,390,38,348,4,0
multi_agent,misdirected,225,26,176,23,0
multi_agent,ambiguous,465,125,170,169,1
single_llm_ltl,legitimate,270,210,53,7,0
single_llm_ltl,unsafe,390,7,378,5,0
single_llm_ltl,misdirected,225,36,188,1,0
single_llm_ltl,ambiguous,465,94,49,322,0
multi_agent_ltl,legitimate,270,145,107,18,0
multi_agent_ltl,unsafe,390,14,370,6,0
multi_agent_ltl,misdirected,225,9,197,19,0
multi_agent_ltl,ambiguous,465,105,198,162,0
remove_verifier,legitimate,270,166,93,11,0
remove_verifier,unsafe,390,35,351,4,0
remove_verifier,misdirected,225,27,175,23,0
remove_verifier,ambiguous,465,137,165,163,0
remove_critic,legitimate,270,239,28,3,0
remove_critic,unsafe,390,69,321,0,0
remove_critic,misdirected,225,41,178,6,0
remove_critic,ambiguous,465,311,112,42,0
remove_clarification,legitimate,270,150,118,2,0
remove_clarification,unsafe,390,12,378,0,0
remove_clarification,misdirected,225,10,215,0,0
remove_clarification,ambiguous,465,135,310,18,2
